gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\ARB\ARB_fragment_program.txt                           : Additions to Chapter 5 of the OpenGL 1.3 Specification (Special Functions)
gl ext spec\QCOM\QCOM_writeonly_rendering.txt                      : Additions to Chapter 5 of the OpenGL 1.4 Specification (Special Errors
gl ext spec\ARB\ARB_fragment_shader.txt                            : Additions to Chapter 5 of the OpenGL 1.4 Specification (Special Functions)
gl ext spec\APPLE\APPLE_object_purgeable.txt                       : Additions to Chapter 5 of the OpenGL 1.5 Specification
gl ext spec\ARB\ARB_draw_buffers.txt                               : Additions to Chapter 5 of the OpenGL 1.5 Specification (Special Functions)
gl ext spec\EXT\EXT_draw_instanced.txt                             : Additions to Chapter 5 of the OpenGL 2.0 Specification
gl ext spec\3DL\WGL_3DL_stereo_control.txt                         : Additions to Chapter 5 of the OpenGL 2.0 Specification (Special Functions)
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Additions to Chapter 5 of the OpenGL 2.1 Specification
gl ext spec\AMD\AMD_name_gen_delete.txt                            : Additions to Chapter 5 of the OpenGL 2.1 Specification (Special Functions)
gl ext spec\ARB\ARB_texture_cube_map_array.txt                     : Additions to Chapter 5 of the OpenGL 3.0 specification (Special Functions)
gl ext spec\ARB\ARB_copy_buffer.txt                                : Additions to Chapter 5 of the OpenGL 3.0 Specification (Special Functions)
gl ext spec\ARB\ARB_cl_event.txt                                   : Additions to Chapter 5 of the OpenGL 3.1 Specification (Special Functions)
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Additions to Chapter 5 of the OpenGL 3.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_robustness.txt                                 : Additions to Chapter 5 of the OpenGL 3.2 (Compatibility Profile) Specification (Special Functions)
gl ext spec\ARB\ARB_viewport_array.txt                             : Additions to Chapter 5 of the OpenGL 3.2 (Compatibility) Specification (Special Functions)
gl ext spec\AMD\AMD_query_buffer_object.txt                        : Additions to Chapter 5 of the OpenGL 3.2 (core) Specification (Special Functions)
gl ext spec\AMD\AMD_sample_positions.txt                           : Additions to Chapter 5 of the OpenGL 3.2 (Core) Specification (Special Functions)
gl ext spec\NV\NV_path_rendering.txt                               : Additions to Chapter 5 of the OpenGL 3.2 (unabridged) Specification
gl ext spec\ARB\ARB_texture_storage.txt                            : Additions to Chapter 5 of the OpenGL 3.2 Compatibility Profile Specification
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Additions to Chapter 5 of the OpenGL 3.2 Specification (Compatibility Profile) (Special Functions)
gl ext spec\ARB\ARB_draw_indirect.txt                              : Additions to Chapter 5 of the OpenGL 3.2 Specification (Special Functions)
gl ext spec\AMD\AMD_transform_feedback3_lines_triangles.txt        : Additions to Chapter 5 of the OpenGL 4.0 (Core) Specification (Special Functions)
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Additions to Chapter 5 of the OpenGL 4.0 Compatibility Profile Specification (Special Functions)
gl ext spec\ARB\ARB_debug_output.txt                               : Additions to Chapter 5 of the OpenGL 4.0 Core Specification
gl ext spec\ARB\ARB_bindless_texture.txt                           : Additions to Chapter 5 of the OpenGL 4.0 Specification (Special Functions)
gl ext spec\ARB\ARB_internalformat_query.txt                       : Additions to Chapter 5 of the OpenGL 4.1 (Compatibility Profile) Specification (Special Functions)
gl ext spec\ARB\ARB_transform_feedback_instanced.txt               : Additions to Chapter 5 of the OpenGL 4.1 (Core Profile) Specification
gl ext spec\AMD\AMD_blend_minmax_factor.txt                        : Additions to Chapter 5 of the OpenGL 4.1 (Core) Specification (Special Functions)
gl ext spec\KHR\KHR_blend_equation_advanced.txt                    : Additions to Chapter 5 of the OpenGL 4.1 Specification (Special Functions)
gl ext spec\ARB\ARB_framebuffer_no_attachments.txt                 : Additions to Chapter 5 of the OpenGL 4.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Additions to Chapter 5 of the OpenGL 4.2 (Compatibility Profile) Specification (Special Functions)
gl ext spec\AMD\AMD_pinned_memory.txt                              : Additions to Chapter 5 of the OpenGL 4.2 (Core Profile) Specification
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 5 of the OpenGL 4.2 (Core) Specification (Special Functions)
gl ext spec\KHR\KHR_debug.txt                                      : Additions to Chapter 5 of the OpenGL 4.2 Specification
gl ext spec\ARB\ARB_texture_view.txt                               : Additions to Chapter 5 of the OpenGL 4.2 Specification (Special Functions)
gl ext spec\NV\NV_command_list.txt                                 : Additions to Chapter 5 of the OpenGL 4.4 (Compatibility) Specification
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Chapter 5 of the OpenGL ES 1.0 Specification
gl ext spec\APPLE\APPLE_texture_format_BGRA8888.txt                : Additions to Chapter 5 of the OpenGL ES 1.1 Specification (Special Functions)
gl ext spec\ANGLE\ANGLE_depth_texture.txt                          : Additions to Chapter 5 of the OpenGL ES 2.0 Specification (Special Functions)
gl ext spec\ANGLE\ANGLE_texture_usage.txt                          : Additions to Chapter 5 of the OpenGL ES 2.0 Specification (Special Functions):
gl ext spec\OES\OES_standard_derivatives.txt                       : Additions to Chapter 5 of the OpenGL ES 2.0 specification:
gl ext spec\OES\OES_shader_multisample_interpolation.txt           : Additions to Chapter 5 of the OpenGL ES 3.0 Specification
gl ext spec\EXT\EXT_draw_buffers_indexed.txt                       : Additions to Chapter 5 of the OpenGL ES 3.0 Specification (Special Functions)
gl ext spec\OES\OES_sample_shading.txt                             : Additions to Chapter 5 of the OpenGL ES 3.0.2 Specification (Special Functions)
gl ext spec\IMG\IMG_bindless_texture.txt                           : Additions to Chapter 5 of the OpenGL ES 3.1 API Specification, "Shared Objects and Multiple Contexts"
gl ext spec\KHR\KHR_robust_buffer_access_behavior.txt              : Additions to chapter 5 of the OpenGL ES Shading Language Specification version 3.10.3
gl ext spec\ARB\ARB_shading_language_420pack.txt                   : Additions to Chapter 5 of the OpenGL Shading Language
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 5 of the OpenGL Shading Language (GLSL) Specification, version 4.20, (Operators and Expressions)
gl ext spec\AMD\AMD_shader_trinary_minmax.txt                      : Additions to Chapter 5 of the OpenGL Shading Language (GLSL) Specification, version 4.30, (Operators and Expressions)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 5 of the OpenGL Shading Language 1.20 Specification
gl ext spec\AMD\AMD_gpu_shader_half_float.txt                      : Additions to Chapter 5 of the OpenGL Shading Language Specification
gl ext spec\ARB\ARB_arrays_of_arrays.txt                           : Additions to Chapter 5 of the OpenGL Shading Language Specification, Version
gl ext spec\DMP\DMP_program_binary.txt                             : Additions to Chapter 5 of the OpenGL-ES 2.0 Specification (Special Functions)
gl ext spec\ARB\ARB_matrix_palette.txt                             : Additions to Chapter 5:
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Additions to Chapter 6 - State and State Requests
gl ext spec\ARB\ARB_shading_language_include.txt                   : Additions to Chapter 6 (State and State Requests)
gl ext spec\APPLE\APPLE_texture_range.txt                          : Additions to Chapter 6 of the 1.0 Specification (State and State Requests)
gl ext spec\SGIX\SGIX_subdiv_patch.txt                             : Additions to Chapter 6 of the 1.0 Specification (State and State Requests):
gl ext spec\EXT\EXT_fragment_lighting.txt                          : Additions to Chapter 6 of the 1.1 Specification (State and State Requests)
gl ext spec\EXT\EXT_blend_func_separate.txt                        : Additions to Chapter 6 of the 1.2 GL Specification (State and State Requests)
gl ext spec\ARB\ARB_transpose_matrix.txt                           : Additions to Chapter 6 of the 1.2 OpenGL Specification (State and State Requests)
gl ext spec\3DFX\3DFX_multisample.txt                              : Additions to Chapter 6 of the 1.2 Specification (State and State Requests)
gl ext spec\APPLE\APPLE_client_storage.txt                         : Additions to Chapter 6 of the 1.2.1 Specification (State and State Requests)
gl ext spec\SUN\SUN_mesh_array.txt                                 : Additions to Chapter 6 of the 1.3 GL Specification (State and State Requests)
gl ext spec\APPLE\APPLE_element_array.txt                          : Additions to Chapter 6 of the 1.3 Specification (State and State Requests)
gl ext spec\MESA\GLX_MESA_swap_control.txt                         : Additions to Chapter 6 of the 1.4 GL Specification (State and State Requests)
gl ext spec\ARB\ARB_vertex_buffer_object.txt                       : Additions to Chapter 6 of the 1.4 Specification (State and State Requests)
gl ext spec\EXT\EXT_blend_equation_separate.txt                    : Additions to Chapter 6 of the 1.5 GL Specification (State and State Requests)
gl ext spec\AMD\AMD_seamless_cubemap_per_texture.txt               : Additions to Chapter 6 of the 1.5 Specification (State and State Requests)
gl ext spec\ARB\ARB_framebuffer_sRGB.txt                           : Additions to Chapter 6 of the 2.0 Specification (State and State Requests)
gl ext spec\NV\NV_memory_attachment.txt                            : Additions to Chapter 6 of the EXT_external_objects Specification
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Additions to Chapter 6 of the GL 1.1 Specification (State and State Requests)
gl ext spec\ARB\ARB_texture_env_add.txt                            : Additions to Chapter 6 of the GL Specification (State and State Requests)
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Additions to Chapter 6 of the GLX 1.3 Specification (GLX Versions)
gl ext spec\NV\NV_present_video.txt                                : Additions to Chapter 6 of the GLX 1.4 Specification (GLX Versions)
gl ext spec\ATI\ATI_texture_env_combine3.txt                       : Additions to Chapter 6 of the OpenGL 1.2 Specification (State and State Requests)
gl ext spec\3DFX\3DFX_texture_compression_FXT1.txt                 : Additions to Chapter 6 of the OpenGL 1.2.1 Specification (State and State Requests)
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Chapter 6 of the OpenGL 1.3 Specification
gl ext spec\ARB\ARB_fragment_program.txt                           : Additions to Chapter 6 of the OpenGL 1.3 Specification (State and State Requests)
gl ext spec\ARB\ARB_fragment_shader.txt                            : Additions to Chapter 6 of the OpenGL 1.4 Specification (State and State Requests)
gl ext spec\ANGLE\ANGLE_framebuffer_blit.txt                       : Additions to Chapter 6 of the OpenGL 1.5 Specification (State and State Requests)
gl ext spec\3DL\WGL_3DL_stereo_control.txt                         : Additions to Chapter 6 of the OpenGL 2.0 Specification (State and State Requests)
gl ext spec\ARB\ARB_vertex_array_object.txt                        : Additions to Chapter 6 of the OpenGL 2.1 Specification (Querying GL State)
gl ext spec\AMD\AMD_name_gen_delete.txt                            : Additions to Chapter 6 of the OpenGL 2.1 Specification (State and State Requests)
gl ext spec\NV\NV_shader_buffer_load.txt                           : Additions to Chapter 6 of the OpenGL 3.0 Specification (Querying GL State)
gl ext spec\ARB\ARB_texture_cube_map_array.txt                     : Additions to Chapter 6 of the OpenGL 3.0 specification (State and State Requests)
gl ext spec\EXT\EXT_direct_state_access.txt                        : Additions to Chapter 6 of the OpenGL 3.0 Specification (State and State Requests)
gl ext spec\ARB\ARB_cl_event.txt                                   : Additions to Chapter 6 of the OpenGL 3.1 Specification (State and State Requests)
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Additions to Chapter 6 of the OpenGL 3.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_robustness.txt                                 : Additions to Chapter 6 of the OpenGL 3.2 (Compatibility Profile) Specification (State and State Requests)
gl ext spec\ARB\ARB_viewport_array.txt                             : Additions to Chapter 6 of the OpenGL 3.2 (Compatibility) Specification (State and State Requests)
gl ext spec\AMD\AMD_query_buffer_object.txt                        : Additions to Chapter 6 of the OpenGL 3.2 (core) Specification (State and State Requests)
gl ext spec\AMD\AMD_sample_positions.txt                           : Additions to Chapter 6 of the OpenGL 3.2 (Core) Specification (State and State Requests)
gl ext spec\NV\NV_vdpau_interop.txt                                : Additions to Chapter 6 of the OpenGL 3.2 (unabridged) Specification
gl ext spec\NV\NV_path_rendering.txt                               : Additions to Chapter 6 of the OpenGL 3.2 (unabridged) Specification (State and State Requests)
gl ext spec\ARB\ARB_texture_storage.txt                            : Additions to Chapter 6 of the OpenGL 3.2 Core Profile Specification
gl ext spec\ARB\ARB_occlusion_query2.txt                           : Additions to Chapter 6 of the OpenGL 3.2 Specification
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Additions to Chapter 6 of the OpenGL 3.2 Specification (Compatibility Profile) (State and State Requests)
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : Additions to Chapter 6 of the OpenGL 3.2 Specification (State and State Request)
gl ext spec\ANGLE\ANGLE_pack_reverse_row_order.txt                 : Additions to Chapter 6 of the OpenGL 3.2 Specification (State and State Requests)
gl ext spec\AMD\AMD_transform_feedback3_lines_triangles.txt        : Additions to Chapter 6 of the OpenGL 4.0 (Core) Specification (State and State Requests)
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Additions to Chapter 6 of the OpenGL 4.0 Compatibility Profile Specific- ation (State and State Requests)
gl ext spec\ARB\ARB_debug_output.txt                               : Additions to Chapter 6 of the OpenGL 4.0 Core Specification
gl ext spec\ARB\ARB_bindless_texture.txt                           : Additions to Chapter 6 of the OpenGL 4.0 Specification (Queries)
gl ext spec\ARB\ARB_ES2_compatibility.txt                          : Additions to Chapter 6 of the OpenGL 4.0 Specification (State and State Requests)
gl ext spec\ARB\ARB_internalformat_query.txt                       : Additions to Chapter 6 of the OpenGL 4.1 (Core Profile) Specification
gl ext spec\AMD\AMD_blend_minmax_factor.txt                        : Additions to Chapter 6 of the OpenGL 4.1 (Core) Specification (State and State Requests)
gl ext spec\KHR\KHR_blend_equation_advanced.txt                    : Additions to Chapter 6 of the OpenGL 4.1 Specification (State and State Requests)
gl ext spec\ARB\ARB_framebuffer_no_attachments.txt                 : Additions to Chapter 6 of the OpenGL 4.2 (Compatibility Profile) Specification
gl ext spec\AMD\AMD_pinned_memory.txt                              : Additions to Chapter 6 of the OpenGL 4.2 (Core Profile) Specification
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 6 of the OpenGL 4.2 (Core) Specification (State and State Requests)
gl ext spec\KHR\KHR_debug.txt                                      : Additions to Chapter 6 of the OpenGL 4.2 Specification
gl ext spec\ARB\ARB_explicit_uniform_location.txt                  : Additions to Chapter 6 of the OpenGL 4.2 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_texture_view.txt                               : Additions to Chapter 6 of the OpenGL 4.2 Specification (State and State Requests)
gl ext spec\ARB\ARB_indirect_parameters.txt                        : Additions to Chapter 6 of the OpenGL 4.3 (Core Profile) Specification
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 6 of the OpenGL 4.4 (core) Specification (Buffer Objects)
gl ext spec\EXT\EXT_external_objects.txt                           : Additions to Chapter 6 of the OpenGL 4.5 Specification (Buffer Objects)
gl ext spec\EXT\EXT_external_objects_fd.txt                        : Additions to Chapter 6 of the OpenGL 4.5 Specification (Memory Objects)
gl ext spec\NV\NV_memory_attachment.txt                            : Additions to Chapter 6 of the OpenGL 4.6 Specification (Buffer Objects)
gl ext spec\ARB\ARB_buffer_storage.txt                             : Additions to Chapter 6 of the OpenGL Core Profile Specification, Version 4.3,
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Chapter 6 of the OpenGL ES 1.0 Specification
gl ext spec\APPLE\APPLE_texture_format_BGRA8888.txt                : Additions to Chapter 6 of the OpenGL ES 1.1 Specification (State and State Requests)
gl ext spec\ANGLE\ANGLE_depth_texture.txt                          : Additions to Chapter 6 of the OpenGL ES 2.0 Specification (State and State Requests)
gl ext spec\NV\NV_texture_array.txt                                : Additions to Chapter 6 of the OpenGL ES 2.0.25 Specification
gl ext spec\NV\NV_framebuffer_blit.txt                             : Additions to Chapter 6 of the OpenGL ES 2.0.25 Specification (State and State Requests)
gl ext spec\OES\OES_shader_multisample_interpolation.txt           : Additions to Chapter 6 of the OpenGL ES 3.0 Specification
gl ext spec\OES\OES_texture_compression_astc.txt                   : Additions to Chapter 6 of the OpenGL ES 3.0 Specification (State and
gl ext spec\EXT\EXT_draw_buffers_indexed.txt                       : Additions to Chapter 6 of the OpenGL ES 3.0 Specification (State and State Requests)
gl ext spec\IMG\IMG_framebuffer_downsample.txt                     : Additions to Chapter 6 of the OpenGL ES 3.0 Specification:
gl ext spec\EXT\EXT_texture_border_clamp.txt                       : Additions to Chapter 6 of the OpenGL ES 3.0.2 Specification
gl ext spec\OES\OES_sample_shading.txt                             : Additions to Chapter 6 of the OpenGL ES 3.0.2 Specification (State and State Requests)
gl ext spec\EXT\EXT_buffer_storage.txt                             : Additions to Chapter 6 of the OpenGL ES 3.1 Specification (Buffer Objects)
gl ext spec\EXT\EXT_shader_pixel_local_storage2.txt                : Additions to Chapter 6 of the OpenGL ES Shading Language Specification
gl ext spec\SGIS\SGIS_texture_color_mask.txt                       : Additions to Chapter 6 of the OpenGL OpenGL 1.1 Specification (State and State Requests)
gl ext spec\ARB\ARB_shading_language_420pack.txt                   : Additions to Chapter 6 of the OpenGL Shading Language
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 6 of the OpenGL Shading Language (GLSL) Specification, version 4.20, (Statement Structure)
gl ext spec\AMD\AMD_shader_trinary_minmax.txt                      : Additions to Chapter 6 of the OpenGL Shading Language (GLSL) Specification, version 4.30, (Statement Structure)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 6 of the OpenGL Shading Language 1.20 Specification
gl ext spec\AMD\AMD_gpu_shader_half_float.txt                      : Additions to Chapter 6 of the OpenGL Shading Language Specification
gl ext spec\DMP\DMP_program_binary.txt                             : Additions to Chapter 6 of the OpenGL-ES 2.0 Specification (State and State Requests)
gl ext spec\ARB\ARB_matrix_palette.txt                             : Additions to Chapter 6:
gl ext spec\ARB\ARB_parallel_shader_compile.txt                    : Additions to Chapter 7 "Programs and Shaders",
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Additions to Chapter 7 of the GLX 1.3 Specification (Glossary)
gl ext spec\ARB\ARB_clear_texture.txt                              : Additions to Chapter 7 of the OpenGL 4.3 (Core Profile) Specification
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 7 of the OpenGL 4.4 (Compatibility Profile) Specification (Programs and Shaders)
gl ext spec\NV\NV_command_list.txt                                 : Additions to Chapter 7 of the OpenGL 4.4 (Compatibility) Specification
gl ext spec\AMD\AMD_gpu_shader_int64.txt                           : Additions to Chapter 7 of the OpenGL 4.4 (Core Profile) Specification
gl ext spec\ARB\ARB_cull_distance.txt                              : Additions to Chapter 7 of the OpenGL 4.4 (Core Profile) Specification (Programs and Shaders)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 7 of the OpenGL 4.4 (core) Specification (Programs and Shaders)
gl ext spec\NV\NV_uniform_buffer_unified_memory.txt                : Additions to Chapter 7 of the OpenGL 4.4 (Core) Specification (Programs and Shaders)
gl ext spec\AMD\AMD_gpu_shader_half_float.txt                      : Additions to Chapter 7 of the OpenGL 4.5 (Core Profile) Specification
gl ext spec\AMD\AMD_gpu_shader_half_float_fetch.txt                : Additions to Chapter 7 of the OpenGL 4.5 (Core Profile) Specification (Program Objects)
gl ext spec\AMD\AMD_interleaved_elements.txt                       : Additions to Chapter 7 of the OpenGL Core Profile Specification, Version 4.3,
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Chapter 7 of the OpenGL ES 1.0 Specification
gl ext spec\EXT\EXT_clear_texture.txt                              : Additions to Chapter 7 of the OpenGL ES 3.1 API Specification (Programs and Shaders)
gl ext spec\IMG\IMG_bindless_texture.txt                           : Additions to Chapter 7 of the OpenGL ES 3.1 API Specification, "Variables and Types"
gl ext spec\OES\OES_shader_image_atomic.txt                        : Additions to Chapter 7 of the OpenGL ES 3.1 specification (Programs and Shaders)
gl ext spec\EXT\EXT_blend_func_extended.txt                        : Additions to Chapter 7 of the OpenGL ES 3.1 Specification (Programs and Shaders)
gl ext spec\EXT\EXT_buffer_storage.txt                             : Additions to Chapter 7 of the OpenGL ES 3.1 Specification,
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Additions to Chapter 7 of the OpenGL ES 3.2 Specification (Programs and Shaders)
gl ext spec\APPLE\APPLE_clip_distance.txt                          : Additions to Chapter 7 of the OpenGL ES Shading Language 1.00 Specification
gl ext spec\APPLE\APPLE_clip_distance.txt                          : Additions to Chapter 7 of the OpenGL ES Shading Language 3.00 Specification
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Additions to Chapter 7 of the OpenGL ES Shading Language 3.20 Specification
gl ext spec\ARM\ARM_shader_framebuffer_fetch.txt                   : Additions to Chapter 7 of the OpenGL ES Shading Language Specification
gl ext spec\EXT\EXT_frag_depth.txt                                 : Additions to Chapter 7 of the OpenGL ES Shading Language specification:
gl ext spec\ARB\ARB_shading_language_420pack.txt                   : Additions to Chapter 7 of the OpenGL Shading Language
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 7 of the OpenGL Shading Language (GLSL) Specification, version 4.20 (Built-in variables)
gl ext spec\AMD\AMD_shader_trinary_minmax.txt                      : Additions to Chapter 7 of the OpenGL Shading Language (GLSL) Specification, version 4.30 (Built-in variables)
gl ext spec\AMD\AMD_shader_explicit_vertex_parameter.txt           : Additions to Chapter 7 of the OpenGL Shading Language (GLSL) Specification, version 4.50 (Built-in variables)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 7 of the OpenGL Shading Language 1.20 Specification
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Additions to Chapter 7 of the OpenGL Shading Language 4.10.6 Specification
gl ext spec\ARB\ARB_fragment_layer_viewport.txt                    : Additions to Chapter 7 of the OpenGL Shading Language 4.20.11 Specification
gl ext spec\ARB\ARB_cull_distance.txt                              : Additions to Chapter 7 of the OpenGL Shading Language 4.40 Specification (Built-in Variables)
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 7 of the OpenGL Shading Language 4.40.8 Specification
gl ext spec\ARB\ARB_ES3_2_compatibility.txt                        : Additions to Chapter 7 of the OpenGL Shading Language 4.50.5 Specification
gl ext spec\AMD\AMD_gcn_shader.txt                                 : Additions to Chapter 7 of the OpenGL Shading Language Specification
gl ext spec\ARB\ARB_compute_shader.txt                             : Additions to Chapter 7 of the OpenGL Shading Language Specification, Version
gl ext spec\AMD\AMD_vertex_shader_layer.txt                        : Additions to Chapter 7 of the OpenGL Shading Language Specification, Version 4.20
gl ext spec\ARB\ARB_enhanced_layouts.txt                           : Additions to Chapter 7.3 "Built-In Constants" of the OpenGL Shading Language
gl ext spec\EXT\EXT_pvrtc_sRGB.txt                                 : Additions to Chapter 8 "Built-in Functions" of the OpenGL ES Shading Language document version 1.00, document revision 16:
gl ext spec\ARB\ARB_texture_mirror_clamp_to_edge.txt               : Additions to Chapter 8 if the OpenGL 4.3 (Core Profile) Specification
gl ext spec\EXT\EXT_texture_mirror_clamp_to_edge.txt               : Additions to Chapter 8 if the OpenGL ES 3.2 Specification
gl ext spec\AMD\AMD_shader_atomic_counter_ops.txt                  : Additions to Chapter 8 of the GLSL 4.30.7 Specification (Built-in Functions)
gl ext spec\EXT\EXT_shader_integer_mix.txt                         : Additions to Chapter 8 of the GLSL 4.40 Specification (Built-in Functions)
gl ext spec\ARB\ARB_texture_stencil8.txt                           : Additions to Chapter 8 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_clear_texture.txt                              : Additions to Chapter 8 of the OpenGL 4.3 (Core Profile) Specification
gl ext spec\ARB\ARB_sparse_texture.txt                             : Additions to Chapter 8 of the OpenGL 4.3 (Core) Specification (Textures and Samplers)
gl ext spec\ARB\ARB_get_texture_sub_image.txt                      : Additions to Chapter 8 of the OpenGL 4.4 (Core Profile) Specification (Textures and Samplers)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 8 of the OpenGL 4.4 (core) Specification (Textures and Samplers)
gl ext spec\NV\NV_gpu_multicast.txt                                : Additions to Chapter 8 of the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_texture_filter_anisotropic.txt                 : Additions to Chapter 8 of the OpenGL 4.5 Specification (Textures and Samplers)
gl ext spec\NV\NV_shader_texture_footprint.txt                     : Additions to Chapter 8 of the OpenGL 4.6 (Compatibility Profile) Specification
gl ext spec\NV\NV_vdpau_interop2.txt                               : Additions to Chapter 8 of the OpenGL 4.6 (unabridged) Specification
gl ext spec\NV\NV_memory_attachment.txt                            : Additions to Chapter 8 of the OpenGL 4.6 Specification (Textures and Samplers)
gl ext spec\ARB\ARB_seamless_cubemap_per_texture.txt               : Additions to Chapter 8 of the OpenGL Core Profile Specification (Textures and Samplers)
gl ext spec\EXT\EXT_clear_texture.txt                              : Additions to Chapter 8 of the OpenGL ES 3.1 API Specification (Textures and Samplers)
gl ext spec\IMG\IMG_bindless_texture.txt                           : Additions to Chapter 8 of the OpenGL ES 3.1 API Specification, "Textures and Samplers"
gl ext spec\EXT\EXT_render_snorm.txt                               : Additions to Chapter 8 of the OpenGL ES 3.1 Specification
gl ext spec\OES\OES_shader_image_atomic.txt                        : Additions to Chapter 8 of the OpenGL ES 3.1 specification (Textures and Samplers)
gl ext spec\EXT\EXT_sparse_texture.txt                             : Additions to Chapter 8 of the OpenGL ES 3.1 Specification (Textures and Samplers)
gl ext spec\EXT\EXT_texture_sRGB_R8.txt                            : Additions to Chapter 8 of the OpenGL ES 3.1 Specification [GL 4.6 core specification] (Textures and Samplers)
gl ext spec\EXT\EXT_texture_compression_bptc.txt                   : Additions to Chapter 8 of the OpenGL ES 3.2 Specification (Rasterization)
gl ext spec\EXT\EXT_EGL_image_storage.txt                          : Additions to Chapter 8 of the OpenGL ES 3.2 Specification (Textures and Samplers)
gl ext spec\NV\NV_texture_array.txt                                : Additions to Chapter 8 of the OpenGL ES Shading Language Specification
gl ext spec\OES\OES_standard_derivatives.txt                       : Additions to Chapter 8 of the OpenGL ES Shading Language specification:
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 8 of the OpenGL Shading Language (GLSL) Specification, version 4.20, (Built-in Functions)
gl ext spec\AMD\AMD_shader_ballot.txt                              : Additions to Chapter 8 of the OpenGL Shading Language (GLSL) Specification, version 4.30 (Built-in functions)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 8 of the OpenGL Shading Language 1.20 Specification
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Additions to Chapter 8 of the OpenGL Shading Language 1.50 Specification
gl ext spec\ARB\ARB_stencil_texturing.txt                          : Additions to Chapter 8 of the OpenGL Shading Language 4.20.6 Specification
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 8 of the OpenGL Shading Language 4.40.8 Specification
gl ext spec\AMD\AMD_gcn_shader.txt                                 : Additions to Chapter 8 of the OpenGL Shading Language Specification
gl ext spec\AMD\AMD_gpu_shader_half_float_fetch.txt                : Additions to Chapter 8 of the OpenGL Shading Language Specification (Built-in Functions)
gl ext spec\ARB\ARB_compute_shader.txt                             : Additions to Chapter 8 of the OpenGL Shading Language Specification, Version
gl ext spec\EXT\EXT_shader_texture_lod.txt                         : Additions to Chapter 8 of version 1.00.17 of the OpenGL ES Shading Language Specification
gl ext spec\ARB\ARB_shader_texture_lod.txt                         : Additions to Chapter 8 of version 1.10.59 of the OpenGL Shading Language Specification
gl ext spec\ARB\ARB_enhanced_layouts.txt                           : Additions to Chapter 9 "Shading Language Grammar for Core Profile" of the OpenGL Shading Language
gl ext spec\NV\NV_framebuffer_mixed_samples.txt                    : Additions to Chapter 9 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 9 of the OpenGL 4.4 (Compatibility Profile) Specification (Framebuffers and Framebuffer Objects)
gl ext spec\AMD\AMD_framebuffer_sample_positions.txt               : Additions to Chapter 9 of the OpenGL 4.4 (Core) Specification
